"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"","null","html-keyboard-response","12","2.0.0","95692","ps9zxm0rjqr","","<p style=""font-size: 32px;"">dog</p>","null","instrumental","word","dog","","",""
"","null","html-keyboard-response","13","2.0.0","96195","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","14","2.0.0","97198","ps9zxm0rjqr","","<p style=""font-size: 32px;"">sun</p>","null","instrumental","word","sun","","",""
"","null","html-keyboard-response","15","2.0.0","97702","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","16","2.0.0","98705","ps9zxm0rjqr","","<p style=""font-size: 32px;"">chair</p>","null","instrumental","word","chair","","",""
"","null","html-keyboard-response","17","2.0.0","99208","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","18","2.0.0","100212","ps9zxm0rjqr","","<p style=""font-size: 32px;"">pencil</p>","null","instrumental","word","pencil","","",""
"","null","html-keyboard-response","19","2.0.0","100716","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","20","2.0.0","101718","ps9zxm0rjqr","","<p style=""font-size: 32px;"">river</p>","null","instrumental","word","river","","",""
"","null","html-keyboard-response","21","2.0.0","102222","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","22","2.0.0","103225","ps9zxm0rjqr","","<p style=""font-size: 32px;"">moon</p>","null","instrumental","word","moon","","",""
"","null","html-keyboard-response","23","2.0.0","103728","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","24","2.0.0","104730","ps9zxm0rjqr","","<p style=""font-size: 32px;"">house</p>","null","instrumental","word","house","","",""
"","null","html-keyboard-response","25","2.0.0","105234","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","26","2.0.0","106236","ps9zxm0rjqr","","<p style=""font-size: 32px;"">flower</p>","null","instrumental","word","flower","","",""
"","null","html-keyboard-response","27","2.0.0","106739","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","28","2.0.0","107741","ps9zxm0rjqr","","<p style=""font-size: 32px;"">bridge</p>","null","instrumental","word","bridge","","",""
"","null","html-keyboard-response","29","2.0.0","108244","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","30","2.0.0","109247","ps9zxm0rjqr","","<p style=""font-size: 32px;"">stone</p>","null","instrumental","word","stone","","",""
"","null","html-keyboard-response","31","2.0.0","109750","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","32","2.0.0","110753","ps9zxm0rjqr","","<p style=""font-size: 32px;"">forest</p>","null","instrumental","word","forest","","",""
"","null","html-keyboard-response","33","2.0.0","111257","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","34","2.0.0","112259","ps9zxm0rjqr","","<p style=""font-size: 32px;"">cloud</p>","null","instrumental","word","cloud","","",""
"","null","html-keyboard-response","35","2.0.0","112762","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","36","2.0.0","113765","ps9zxm0rjqr","","<p style=""font-size: 32px;"">pathway</p>","null","instrumental","word","pathway","","",""
"","2473","html-button-response","37","2.1.0","116241","ps9zxm0rjqr","","<p>8 × 3 = ?</p>","1","math_distractor","","","1","true",""
"","1915","html-button-response","38","2.1.0","118158","ps9zxm0rjqr","","<p>15 - 9 = ?</p>","1","math_distractor","","","1","true",""
"","1581","html-button-response","39","2.1.0","119742","ps9zxm0rjqr","","<p>25 ÷ 5 = ?</p>","1","math_distractor","","","1","true",""
"","2301","html-button-response","40","2.1.0","122046","ps9zxm0rjqr","","<p>Which image is the odd one out?</p>","1","","","","","true",""
"","12631","survey","41","2.1.0","134710","ps9zxm0rjqr","","","{""selected_words"":[""pencil"",""table"",""moon"",""chair""]}","recall_instrumental","","","","","1"
"","null","html-keyboard-response","42","2.0.0","139713","ps9zxm0rjqr","","<p>Starting trial with silence.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","43","2.0.0","140216","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","44","2.0.0","141218","ps9zxm0rjqr","","<p style=""font-size: 32px;"">phone</p>","null","silence","word","phone","","",""
"","null","html-keyboard-response","45","2.0.0","141721","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","46","2.0.0","142724","ps9zxm0rjqr","","<p style=""font-size: 32px;"">candle</p>","null","silence","word","candle","","",""
"","null","html-keyboard-response","47","2.0.0","143236","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","48","2.0.0","144240","ps9zxm0rjqr","","<p style=""font-size: 32px;"">ocean</p>","null","silence","word","ocean","","",""
"","null","html-keyboard-response","49","2.0.0","144743","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","50","2.0.0","145747","ps9zxm0rjqr","","<p style=""font-size: 32px;"">guitar</p>","null","silence","word","guitar","","",""
"","null","html-keyboard-response","51","2.0.0","146250","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","52","2.0.0","147253","ps9zxm0rjqr","","<p style=""font-size: 32px;"">mouse</p>","null","silence","word","mouse","","",""
"","null","html-keyboard-response","53","2.0.0","147756","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","54","2.0.0","148758","ps9zxm0rjqr","","<p style=""font-size: 32px;"">book</p>","null","silence","word","book","","",""
"","null","html-keyboard-response","55","2.0.0","149260","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","56","2.0.0","150264","ps9zxm0rjqr","","<p style=""font-size: 32px;"">lamp</p>","null","silence","word","lamp","","",""
"","null","html-keyboard-response","57","2.0.0","150766","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","58","2.0.0","151769","ps9zxm0rjqr","","<p style=""font-size: 32px;"">valley</p>","null","silence","word","valley","","",""
"","null","html-keyboard-response","59","2.0.0","152272","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","60","2.0.0","153275","ps9zxm0rjqr","","<p style=""font-size: 32px;"">mountain</p>","null","silence","word","mountain","","",""
"","null","html-keyboard-response","61","2.0.0","153778","ps9zxm0rjqr","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","62","2.0.0","154780","ps9zxm0rjqr","","<p style=""font-size: 32px;"">car</p>","null","silence","word","car","","",""
