"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","correct","accuracy"
"","null","html-keyboard-response","67","2.0.0","150825","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","68","2.0.0","151828","ps70rke1e0r","","<p style=""font-size: 32px;"">forest</p>","null","instrumental","word","forest","","",""
"","null","html-keyboard-response","69","2.0.0","152331","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","70","2.0.0","153334","ps70rke1e0r","","<p style=""font-size: 32px;"">cloud</p>","null","instrumental","word","cloud","","",""
"","null","html-keyboard-response","71","2.0.0","153844","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","",""
"","null","html-keyboard-response","72","2.0.0","154847","ps70rke1e0r","","<p style=""font-size: 32px;"">pathway</p>","null","instrumental","word","pathway","","",""
"","1658","html-button-response","73","2.1.0","156509","ps70rke1e0r","","<p>8 × 3 = ?</p>","1","math_distractor","","","1","true",""
"","1245","html-button-response","74","2.1.0","157756","ps70rke1e0r","","<p>15 - 9 = ?</p>","1","math_distractor","","","1","true",""
"","1062","html-button-response","75","2.1.0","158822","ps70rke1e0r","","<p>25 ÷ 5 = ?</p>","1","math_distractor","","","1","true",""
"","1893","html-button-response","76","2.1.0","160718","ps70rke1e0r","","<p>Which image is the odd one out?</p>","1","","","","","true",""
"","11530","survey","77","2.1.0","172282","ps70rke1e0r","","","{""selected_words"":[""sun"",""table"",""cloud"",""pencil""]}","recall_instrumental","","","","","0.6666666666666666"
"","null","html-keyboard-response","78","2.0.0","177284","ps70rke1e0r","","<p>Starting trial with silence.</p>
                  <p><strong>The trial will begin in a few seconds.</strong></p>","null","","","","","",""
"","null","html-keyboard-response","79","2.0.0","177787","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","80","2.0.0","178791","ps70rke1e0r","","<p style=""font-size: 32px;"">tree</p>","null","silence","word","tree","","",""
"","null","html-keyboard-response","81","2.0.0","179294","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","82","2.0.0","180298","ps70rke1e0r","","<p style=""font-size: 32px;"">window</p>","null","silence","word","window","","",""
"","null","html-keyboard-response","83","2.0.0","180801","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","84","2.0.0","181805","ps70rke1e0r","","<p style=""font-size: 32px;"">cloud</p>","null","silence","word","cloud","","",""
"","null","html-keyboard-response","85","2.0.0","182308","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","86","2.0.0","183311","ps70rke1e0r","","<p style=""font-size: 32px;"">star</p>","null","silence","word","star","","",""
"","null","html-keyboard-response","87","2.0.0","183815","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","88","2.0.0","184818","ps70rke1e0r","","<p style=""font-size: 32px;"">computer</p>","null","silence","word","computer","","",""
"","null","html-keyboard-response","89","2.0.0","185322","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","90","2.0.0","186325","ps70rke1e0r","","<p style=""font-size: 32px;"">train</p>","null","silence","word","train","","",""
"","null","html-keyboard-response","91","2.0.0","186828","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","92","2.0.0","187832","ps70rke1e0r","","<p style=""font-size: 32px;"">guitar</p>","null","silence","word","guitar","","",""
"","null","html-keyboard-response","93","2.0.0","188335","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","94","2.0.0","189338","ps70rke1e0r","","<p style=""font-size: 32px;"">desert</p>","null","silence","word","desert","","",""
"","null","html-keyboard-response","95","2.0.0","189852","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","96","2.0.0","190856","ps70rke1e0r","","<p style=""font-size: 32px;"">cup</p>","null","silence","word","cup","","",""
"","null","html-keyboard-response","97","2.0.0","191360","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","98","2.0.0","192364","ps70rke1e0r","","<p style=""font-size: 32px;"">door</p>","null","silence","word","door","","",""
"","null","html-keyboard-response","99","2.0.0","192866","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","100","2.0.0","193869","ps70rke1e0r","","<p style=""font-size: 32px;"">ceiling</p>","null","silence","word","ceiling","","",""
"","null","html-keyboard-response","101","2.0.0","194372","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","102","2.0.0","195375","ps70rke1e0r","","<p style=""font-size: 32px;"">desk</p>","null","silence","word","desk","","",""
"","null","html-keyboard-response","103","2.0.0","195877","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","104","2.0.0","196881","ps70rke1e0r","","<p style=""font-size: 32px;"">keyboard</p>","null","silence","word","keyboard","","",""
"","null","html-keyboard-response","105","2.0.0","197383","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","106","2.0.0","198386","ps70rke1e0r","","<p style=""font-size: 32px;"">horizon</p>","null","silence","word","horizon","","",""
"","null","html-keyboard-response","107","2.0.0","198889","ps70rke1e0r","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","",""
"","null","html-keyboard-response","108","2.0.0","199892","ps70rke1e0r","","<p style=""font-size: 32px;"">stream</p>","null","silence","word","stream","","",""
"","1511","html-button-response","109","2.1.0","201407","ps70rke1e0r","","<p>8 × 3 = ?</p>","1","math_distractor","","","1","true",""
"","1145","html-button-response","110","2.1.0","202554","ps70rke1e0r","","<p>15 - 9 = ?</p>","1","math_distractor","","","1","true",""
"","862","html-button-response","111","2.1.0","203419","ps70rke1e0r","","<p>25 ÷ 5 = ?</p>","1","math_distractor","","","1","true",""
"","1628","html-button-response","112","2.1.0","205051","ps70rke1e0r","","<p>Which image is the odd one out?</p>","0","","","","","true",""
"","12316","survey","113","2.1.0","217401","ps70rke1e0r","","","{""selected_words"":[""pillow"",""desk"",""guitar"",""pebble""]}","recall_silence","","","","","0.6666666666666666"
"","34509","survey","114","2.1.0","251942","ps70rke1e0r","","","{""reflect-study-mood"":8,""reflect-study-motivation"":10,""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I liked the second one (instrumental) and the silence the best. "",""reflect-difficulties"":null,""reflect-feedback"":null}","","","","","",""
