random_id,rt,phase,response
pr5qb52kpv1,70325.0,,"{""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-age"":18,""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Latin / Reggaeton"",""Hip-Hop / Rap"",""Pop""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":6}"
pr5qb52kpv1,123561.0,,"{""reflect-study-mood"":5,""reflect-study-motivation"":4,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""I liked both tracks the first one that played and the second one."",""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A""}"
ptn21ywmnxy,44309.0,,"{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Jazz"",""Rock""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Coffee shop"",""Home"",""Library""],""baseline-study-motivation"":5}"
ptn21ywmnxy,79525.0,,"{""reflect-study-mood"":5,""reflect-study-motivation"":5,""motivation_ranking"":[""Silence"",""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I'm sorry I don't remember. The lyrical music was nice, but all of them were nice. "",""reflect-difficulties"":""no"",""reflect-feedback"":""no""}"
p213h3m86k1,41857.0,,"{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Rock""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Library""],""baseline-study-motivation"":7}"
p213h3m86k1,100860.0,,"{""reflect-study-mood"":7,""reflect-study-motivation"":7,""motivation_ranking"":[""Silence"",""Chill Instrumental"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Did not like the upbeat instrumental music"",""reflect-difficulties"":""N/A"",""reflect-feedback"":""N/A - hopefully the order of all four is random to prevent bias""}"
px8xhr37kqe,55472.0,,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Indie"",""baseline-study-location"":[""Home"",""Coffee shop"",""Library""],""baseline-study-hours"":""6-7"",""baseline-study-motivation"":7}"
px8xhr37kqe,31011.0,,"{""reflect-study-mood"":6,""reflect-study-motivation"":7,""reflect-listening-device"":""Speakers/Out loud"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""The second"",""reflect-difficulties"":null,""reflect-feedback"":null}"
pt6140msbgv,62665.0,,"{""baseline-age"":22,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Reggae"",""Hip-Hop / Rap"",""R&B / Soul"",""Rock"",""Pop"",""Classical"",""Jazz"",""Latin / Reggaeton""],""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}"
pt6140msbgv,65738.0,,"{""reflect-study-mood"":7,""reflect-study-motivation"":5,""reflect-listening-device"":""Earbuds"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""Me like both"",""reflect-difficulties"":""I did not know music was playing until I turned the volume up. A notification or message before hand would have been helpful to know"",""reflect-feedback"":null}"
pqdwu2hv9v8,40195.0,,"{""baseline-age"":24,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Classical"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""movie soundtracks"",""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":4}"
pqdwu2hv9v8,71699.0,,"{""reflect-study-mood"":8,""reflect-study-motivation"":7,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the lyrical track because I knew it so it was familiar to me. "",""reflect-difficulties"":""no"",""reflect-feedback"":""no""}"
prp5mlab79w,60237.0,,"{""baseline-age"":21,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""none""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":4}"
prp5mlab79w,97969.0,,"{""reflect-study-mood"":10,""reflect-study-motivation"":9,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Silence"",""Chill Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the upbeat music and lyrical music "",""reflect-difficulties"":null,""reflect-feedback"":null}"
pj1fp4vnhgo,137867.0,,"{""baseline-age"":22,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""K-Pop / J-Pop"",""Lo-fi / Chillhop"",""Pop"",""R&B / Soul"",""other""],""baseline-music-type-Comment"":""indie/ indie pop"",""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home"",""other""],""baseline-study-location-Comment"":""on trolley, other places on campus"",""baseline-study-motivation"":4}"
pj1fp4vnhgo,230137.0,,"{""reflect-study-mood"":8,""reflect-study-motivation"":6,""motivation_ranking"":[""Silence"",""Upbeat Instrumental"",""Lyrical Music"",""Chill Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked all of them but would use the lyrical one (too distracting) and the classical one (too sleepy) for studying"",""reflect-difficulties"":""n/a"",""reflect-feedback"":""It was fun! I want to know about the findings of this study :) I also might've made a mistake on one of the questions (I realized right after clicking and I couldn't fix it... I guess that's just part of the study!)""}"
p39h55yf3g8,67612.0,,"{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Latin / Reggaeton""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":4}"
p39h55yf3g8,111513.0,,"{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Lyrical Music"",""Upbeat Instrumental"",""Chill Instrumental"",""Silence""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
px6gd4x6uup,67316.0,,"{""baseline-age"":18,""baseline-race"":[""White""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Pop"",""R&B / Soul"",""Rock"",""Classical"",""Hip-Hop / Rap""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":6}"
px6gd4x6uup,90116.0,,"{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""Both"",""reflect-difficulties"":""No"",""reflect-feedback"":""No""}"
p22eac6c2ul,46696.0,,"{""baseline-age"":27,""baseline-race"":[""Asian"",""White""],""baseline-listen-frequency"":""Never"",""baseline-listening-device"":""I don't listen to music when studying"",""baseline-music-type"":[""none""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""other""],""baseline-study-location-Comment"":""Lab where I do research"",""baseline-study-motivation"":8}"
p22eac6c2ul,86138.0,,"{""reflect-study-mood"":6,""reflect-study-motivation"":9,""motivation_ranking"":[""Silence"",""Chill Instrumental"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""The lyrical song"",""reflect-difficulties"":""No"",""reflect-feedback"":"" No""}"
pqclbv2h2ck,51576.0,,"{""baseline-age"":20,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""Electronic / EDM""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":1}"
pqclbv2h2ck,61512.0,,"{""reflect-study-mood"":10,""reflect-study-motivation"":10,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
p0vqdg59kpg,41429.0,,"{""baseline-age"":21,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Lo-fi / Chillhop"",""R&B / Soul""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home"",""Coffee shop"",""Library""],""baseline-study-motivation"":5}"
p0vqdg59kpg,64871.0,,"{""reflect-study-mood"":8,""reflect-study-motivation"":8,""motivation_ranking"":[""Lyrical Music"",""Chill Instrumental"",""Silence"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Phone"",""reflect-music-familiarity"":""Both of them"",""reflect-music-opinion"":""I liked it and would use it for studying"",""reflect-music-likes"":""track one most"",""reflect-feedback"":""fun!"",""reflect-difficulties"":""No""}"
pk78jm038ww,42638.0,,"{""baseline-age"":20,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Pop"",""R&B / Soul"",""Hip-Hop / Rap"",""K-Pop / J-Pop"",""Podcasts / Spoken Word"",""Nature Sounds / White Noise"",""Lo-fi / Chillhop""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":3}"
pk78jm038ww,47103.0,,"{""reflect-study-mood"":7,""reflect-study-motivation"":3,""motivation_ranking"":[""Chill Instrumental"",""Lyrical Music"",""Upbeat Instrumental"",""Silence""],""reflect-listening-device"":""Over-ear headphones"",""reflect-device"":""Desktop Computer"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I didn't like the music used"",""reflect-music-likes"":null,""reflect-difficulties"":null,""reflect-feedback"":null}"
pz01s9mqzdk,56283.0,,"{""baseline-age"":18,""baseline-race"":[""Asian""],""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""R&B / Soul"",""Hip-Hop / Rap""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home"",""Coffee shop""],""baseline-study-motivation"":8}"
pz01s9mqzdk,64987.0,,"{""reflect-study-mood"":8,""reflect-study-motivation"":7,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Lyrical Music"",""Upbeat Instrumental""],""reflect-listening-device"":""Speakers/Out loud"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I liked the instrumental music. "",""reflect-difficulties"":""No. "",""reflect-feedback"":""No. ""}"
p8dr9p7zjs2,78278.0,,"{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Rock"",""other""],""baseline-music-type-Comment"":""Grunge and Folk"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":6}"
p8dr9p7zjs2,57091.0,,"{""reflect-study-motivation"":3,""motivation_ranking"":[""Chill Instrumental"",""Silence"",""Upbeat Instrumental"",""Lyrical Music""],""reflect-study-mood"":6,""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""Neither"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""both"",""reflect-difficulties"":""no"",""reflect-feedback"":""no""}"
p0j4gk7z0tg,64659.0,,"{""baseline-age"":19,""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""Asian""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Speakers/Out loud"",""baseline-music-type"":[""Pop"",""R&B / Soul""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":7}"
p0j4gk7z0tg,103488.0,,"{""reflect-study-mood"":6,""reflect-study-motivation"":7,""motivation_ranking"":[""Silence"",""Upbeat Instrumental"",""Chill Instrumental"",""Lyrical Music""],""reflect-listening-device"":""Earbuds"",""reflect-device"":""Laptop"",""reflect-music-familiarity"":""One of them"",""reflect-music-opinion"":""I liked it, but I wouldn't use it for studying"",""reflect-music-likes"":""I did not dislike the first one but I focus better without music"",""reflect-difficulties"":""n/a"",""reflect-feedback"":""I enjoyed it even though I had a hard time remembering the words""}"
pqsy7tr26s1,52275.0,,"{""baseline-age"":18,""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-listen-frequency"":""Often"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""R&B / Soul"",""K-Pop / J-Pop"",""Pop""],""baseline-study-hours"":""6-7"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":4}"
